user_id,source,target
-2141275780,"('nickoloff2', 'welcome')","('nickoloff', 'chapter-1')"
-2141275780,"('nickoloff', 'chapter-1')","('nickoloff', 'chapter-1')"
-2141275780,"('nickoloff', 'chapter-1')","('cantelon2', 'chapter-3')"
-2141275780,"('cantelon2', 'chapter-3')","('cantelon2', 'chapter-4')"
-2141275780,"('cantelon2', 'chapter-4')","('cantelon2', 'chapter-4')"
-2141275780,"('cantelon2', 'chapter-4')","('cantelon2', 'chapter-4')"
-2141275780,"('cantelon2', 'chapter-4')","('cantelon2', 'chapter-4')"
-2141275780,"('cantelon2', 'chapter-4')","('cantelon2', 'chapter-4')"
-2141275780,"('cantelon2', 'chapter-4')","('cantelon2', 'chapter-4')"
-2141275780,"('cantelon2', 'chapter-4')","('cantelon2', 'chapter-4')"
-2141275780,"('cantelon2', 'chapter-4')","('cantelon2', 'chapter-4')"
-2141275780,"('cantelon2', 'chapter-4')","('derosa', 'chapter-3')"
-2141275780,"('derosa', 'chapter-3')","('maras', 'chapter-14')"
-2141275780,"('maras', 'chapter-14')","('nickoloff2', 'chapter-1')"
-2141275780,"('nickoloff2', 'chapter-1')","('nickoloff2', 'chapter-1')"
-2141275780,"('nickoloff2', 'chapter-1')","('hocking2', 'chapter-7')"
-2140681835,"('hillard', 'chapter-1')","('hillard', 'welcome')"
-2140681835,"('hillard', 'welcome')","('orland', 'chapter-8')"
-2140492027,"('lyon', 'chapter-1')","('juric2', 'about-the-cover-illustration')"
-2140492027,"('juric2', 'about-the-cover-illustration')","('juric2', 'chapter-2')"
-2140492027,"('juric2', 'chapter-2')","('juric2', 'chapter-2')"
-2140492027,"('juric2', 'chapter-2')","('juric2', 'chapter-6')"
-2140492027,"('juric2', 'chapter-6')","('juric2', 'chapter-6')"
-2140492027,"('juric2', 'chapter-6')","('juric2', 'chapter-6')"
-2140492027,"('juric2', 'chapter-6')","('juric2', 'chapter-5')"
-2140492027,"('juric2', 'chapter-5')","('juric2', 'chapter-5')"
-2140492027,"('juric2', 'chapter-5')","('juric2', 'chapter-5')"
-2140455898,"('buonanno', 'chapter-5')","('buonanno', 'chapter-5')"
-2140455898,"('buonanno', 'chapter-5')","('buonanno', 'chapter-5')"
-2140455898,"('buonanno', 'chapter-5')","('buonanno', 'chapter-5')"
-2140455898,"('buonanno', 'chapter-5')","('buonanno', 'chapter-5')"
-2140455898,"('buonanno', 'chapter-5')","('buonanno', 'chapter-5')"
-2140455898,"('buonanno', 'chapter-5')","('buonanno', 'chapter-6')"
-2140455898,"('buonanno', 'chapter-6')","('buonanno', 'chapter-6')"
-2140455898,"('buonanno', 'chapter-6')","('buonanno', 'chapter-6')"
-2140455898,"('buonanno', 'chapter-6')","('buonanno', 'chapter-6')"
-2140455898,"('buonanno', 'chapter-6')","('buonanno', 'chapter-6')"
-2140455898,"('buonanno', 'chapter-6')","('buonanno', 'chapter-7')"
-2140455898,"('buonanno', 'chapter-7')","('buonanno', 'chapter-7')"
-2140455898,"('buonanno', 'chapter-7')","('buonanno', 'chapter-7')"
-2140455898,"('buonanno', 'chapter-7')","('buonanno', 'chapter-8')"
-2140455898,"('buonanno', 'chapter-8')","('buonanno', 'chapter-8')"
-2140455898,"('buonanno', 'chapter-8')","('buonanno', 'chapter-8')"
-2140455898,"('buonanno', 'chapter-8')","('buonanno', 'chapter-8')"
-2140455898,"('buonanno', 'chapter-8')","('buonanno', 'chapter-8')"
-2140455898,"('buonanno', 'chapter-8')","('buonanno', 'chapter-8')"
-2140455898,"('buonanno', 'chapter-8')","('buonanno', 'chapter-8')"
-2140455898,"('buonanno', 'chapter-8')","('buonanno', 'chapter-9')"
-2140455898,"('buonanno', 'chapter-9')","('buonanno', 'chapter-9')"
-2140455898,"('buonanno', 'chapter-9')","('buonanno', 'chapter-9')"
-2140455898,"('buonanno', 'chapter-9')","('buonanno', 'chapter-9')"
-2140339661,"('payette3', 'chapter-4')","('payette3', 'chapter-4')"
-2140339661,"('payette3', 'chapter-4')","('payette3', 'chapter-4')"
-2140339661,"('payette3', 'chapter-4')","('payette3', 'chapter-4')"
-2140339661,"('payette3', 'chapter-4')","('payette3', 'chapter-4')"
-2140339661,"('payette3', 'chapter-4')","('payette3', 'chapter-3')"
-2140339661,"('payette3', 'chapter-3')","('payette3', 'chapter-4')"
-2140339661,"('payette3', 'chapter-4')","('payette3', 'chapter-4')"
-2140339661,"('payette3', 'chapter-4')","('payette3', 'chapter-4')"
-2140339661,"('payette3', 'chapter-4')","('payette3', 'chapter-4')"
-2140339661,"('payette3', 'chapter-4')","('payette3', 'chapter-5')"
-2140339661,"('payette3', 'chapter-5')","('payette3', 'chapter-5')"
-2140339661,"('payette3', 'chapter-5')","('payette3', 'chapter-5')"
-2140339661,"('payette3', 'chapter-5')","('payette3', 'chapter-5')"
-2140339661,"('payette3', 'chapter-5')","('payette3', 'chapter-5')"
-2140339661,"('payette3', 'chapter-5')","('payette3', 'chapter-5')"
-2139670880,"('falk', 'chapter-7')","('zumel3', 'welcome')"
-2139670880,"('zumel3', 'welcome')","('zumel3', 'b-important-statistical-concepts')"
-2139670880,"('zumel3', 'b-important-statistical-concepts')","('zumel3', 'b-important-statistical-concepts')"
-2139212999,"('chollet', 'chapter-1')","('apeltsin', 'welcome')"
-2139212999,"('apeltsin', 'welcome')","('falk', 'chapter-1')"
-2139212999,"('falk', 'chapter-1')","('falk', 'chapter-2')"
-2139212999,"('falk', 'chapter-2')","('falk', 'chapter-2')"
-2139212999,"('falk', 'chapter-2')","('falk', 'chapter-2')"
-2139212999,"('falk', 'chapter-2')","('falk', 'chapter-3')"
-2139212999,"('falk', 'chapter-3')","('falk', 'chapter-4')"
-2139212999,"('falk', 'chapter-4')","('falk', 'chapter-3')"
-2139212999,"('falk', 'chapter-3')","('falk', 'chapter-6')"
-2139212999,"('falk', 'chapter-6')","('heitz', 'chapter-1')"
-2138501480,"('sbarski', 'chapter-2')","('sbarski', 'chapter-2')"
-2138501480,"('sbarski', 'chapter-2')","('sbarski', 'chapter-2')"
-2138501480,"('sbarski', 'chapter-2')","('sbarski', 'chapter-2')"
-2138148934,"('negro', 'chapter-5')","('negro', 'chapter-5')"
-2137497117,"('raychaudhuri', 'chapter-7')","('roestenburg', 'chapter-1')"
-2137497117,"('roestenburg', 'chapter-1')","('suereth', 'about-this-book')"
-2137497117,"('suereth', 'about-this-book')","('suereth', 'chapter-2')"
-2137497117,"('suereth', 'chapter-2')","('suereth', 'chapter-2')"
-2137497117,"('suereth', 'chapter-2')","('suereth', 'chapter-2')"
-2137497117,"('suereth', 'chapter-2')","('suereth', 'chapter-2')"
-2137497117,"('suereth', 'chapter-2')","('suereth', 'chapter-2')"
-2137497117,"('suereth', 'chapter-2')","('suereth', 'chapter-2')"
-2137497117,"('suereth', 'chapter-2')","('psaltis', 'about-this-book')"
-2137497117,"('psaltis', 'about-this-book')","('suereth', 'chapter-2')"
-2137342556,"('urma2', 'about-this-book')","('urma', 'about-this-book')"
-2137272329,"('seemann2', 'chapter-2')","('wexler', 'chapter-0')"
-2136978213,"('seemann2', 'chapter-3')","('seemann', 'about-this-book')"
-2136978213,"('seemann', 'about-this-book')","('seemann2', 'chapter-5')"
-2136948105,"('kuate', 'chapter-3')","('kuate', 'chapter-3')"
-2136948105,"('kuate', 'chapter-3')","('kuate', 'chapter-3')"
-2136948105,"('kuate', 'chapter-3')","('kuate', 'chapter-3')"
-2136948105,"('kuate', 'chapter-3')","('kuate', 'chapter-6')"
-2136948105,"('kuate', 'chapter-6')","('kuate', 'chapter-6')"
-2136865966,"('gustedt', 'chapter-1')","('kopec2', 'chapter-1')"
-2136865966,"('kopec2', 'chapter-1')","('birchall', 'chapter-7')"
-2136865966,"('birchall', 'chapter-7')","('birchall', 'chapter-7')"
-2136865966,"('birchall', 'chapter-7')","('birchall', 'chapter-7')"
-2136815713,"('palmer', 'chapter-3')","('palmer', 'chapter-3')"
-2136815713,"('palmer', 'chapter-3')","('palmer', 'chapter-3')"
-2136738894,"('negro', 'chapter-6')","('negro', 'chapter-7')"
-2136738894,"('negro', 'chapter-7')","('negro', 'chapter-7')"
-2136738894,"('negro', 'chapter-7')","('negro', 'chapter-6')"
-2136445862,"('lock', 'chapter-14')","('lock', 'chapter-14')"
-2136445862,"('lock', 'chapter-14')","('lock', 'chapter-14')"
-2136284138,"('larocca', 'welcome')","('krunic', 'welcome')"
-2136284138,"('krunic', 'welcome')","('apeltsin', 'welcome')"
-2136284138,"('apeltsin', 'welcome')","('jain', 'chapter-1')"
-2136284138,"('jain', 'chapter-1')","('lyon', 'chapter-1')"
-2136284138,"('lyon', 'chapter-1')","('vermeulen', 'welcome')"
-2136284138,"('vermeulen', 'welcome')","('lyon', 'welcome')"
-2136284138,"('lyon', 'welcome')","('lyon', 'chapter-1')"
-2136284138,"('lyon', 'chapter-1')","('ryan', 'chapter-2')"
-2136284138,"('ryan', 'chapter-2')","('davisr', 'welcome')"
-2136284138,"('davisr', 'welcome')","('wolohan', 'chapter-3')"
-2136284138,"('wolohan', 'chapter-3')","('mcnamara', 'chapter-6')"
-2135917747,"('langr', 'chapter-1')","('langr', 'chapter-1')"
-2135917747,"('langr', 'chapter-1')","('langr', 'chapter-1')"
-2135917747,"('langr', 'chapter-1')","('langr', 'chapter-1')"
-2135712362,"('roestenburg', 'chapter-1')","('roestenburg', 'chapter-1')"
-2135041721,"('skeet5', 'chapter-2')","('skeet5', 'chapter-2')"
-2135041721,"('skeet5', 'chapter-2')","('skeet5', 'chapter-2')"
